State,Established,Nickname,Capital,Government URL
Abia,08/27/1991,Godâ€™s Own,Umuahia,https://abiastate.gov.ng/
Adamawa,08/27/1991,Land of Beauty,Yola,http://www.adamawastate.gov.ng/
Akwa Ibom,09/23/1987,Land of Promise,Uyo,https://akwaibomstate.gov.ng/
Anambra,08/27/1991,Light of the Nation,Awka,https://www.anambrastate.gov.ng/
Bauchi,02/03/1976,Pearl of Tourism,Bauchi,https://www.bauchistate.gov.ng/
Bayelsa,10/01/1996,Glory of all Lands,Yenagoa,https://bayelsastate.gov.ng/
Benue,2/3/1976,Food Basket of the Nation,Makurdi,http://www.benuestate.gov.ng/
Borno,2/3/1976,Home of Peace,Maiduguri,https://bornostate.gov.ng/
Cross River,05/27/1967,The People's Paradise,Calabar,https://crossriverstate.gov.ng/
Delta,08/27/1991,The Finger of God,Asaba,https://www.deltastate.gov.ng/
Ebonyi,10/01/1996,Salt of the Nation,Abakaliki,http://www.ebonyistate.gov.ng/
Edo,08/27/1991,Heartbeat of The Nation,Benin City,https://www.edostate.gov.ng/
Ekiti,10/01/1996,Land of Honour and Integrity,Ado-Ekiti,https://www.ekitistate.gov.ng/
Enugu,08/27/1991,Coal City State,Enugu,https://www.enugustate.gov.ng/
Gombe,10/01/1996,Jewel of the Savannah,Gombe,https://gombestate.gov.ng/
Imo,2/3/1976,Eastern Heartland (formerly Land of Hope),Owerri,https://www.imostate.gov.ng/
Jigawa,08/27/1991,The New World,Dutse,https://www.jigawastate.gov.ng/
Kaduna,05/27/1967,Centre of Learning (formerly Liberal State),Kaduna,https://kdsg.gov.ng/
Kano,05/27/1967,Centre of Commerce,Kano,https://kanostate.gov.ng/
Katsina,09/23/1987,Home of Hospitality,Katsina,https://www.katsinastate.gov.ng/
Kebbi,08/27/1991,Land of Equity,Birnin Kebbi,https://www.kebbistate.gov.ng/
Kogi,08/27/1991,The Confluence State,Lokoja,https://kogistate.gov.ng/
Kwara,05/27/1967,State of Harmony,Ilorin,https://kwarastate.gov.ng/
Lagos,05/27/1967,Centre of Excellence,Ikeja,https://lagosstate.gov.ng/
Nassarawa,10/01/1996,Home of Solid Minerals,Lafia,https://www.nasarawastate.gov.ng/
Niger,2/3/1976,The Power State,Minna,https://nigerstate.gov.ng/
Ogun,2/3/1976,Gateway State,Abeokuta,https://www.ogunstate.gov.ng/
Ondo,2/3/1976,Sunshine State,Akure,https://ondostate.gov.ng/
Osun,08/27/1991,Land of Virtue (formerly State of the Living Spring),Osogbo,https://www.osunstate.gov.ng/
Oyo,2/3/1976,Pace Setter State,Ibadan,https://oyostate.gov.ng/
Plateau,2/3/1976,Home of Peace and Tourism,Jos,http://www.plateaustate.gov.ng/
Rivers,05/27/1967,Treasure Base of the Nation,Port Harcourt,http://www.riversstate.gov.ng/
Sokoto,2/3/1976,Seat of the Caliphate,Sokoto,https://sokotostate.gov.ng/
Taraba,08/27/1991,Nature's Gift to the Nation,Jalingo,https://www.tarabastate.gov.ng/
Yobe,08/27/1991,Pride of the Sahel,Damaturu,https://yobestate.gov.ng/
Zamfara,10/01/1996,Farming is Our Pride,Gusau,https://zamfara.gov.ng/
,,"
",,